Academic_Drive,Resource_Access,Family_Capital,Personal_Wellbeing,Environmental_Stability,Exam_Score
0.39290697674418606,0.4444444444444444,0.16666666666666666,0.3333333333333333,0.8888888888888888,67
0.1746511627906977,0.4861111111111111,0.3333333333333333,0.4444444444444444,0.4444444444444444,61
0.7012209302325583,0.4861111111111111,0.75,0.7222222222222222,0.7222222222222222,74
0.7090406976744186,0.46527777777777773,0.16666666666666666,0.7777777777777777,0.4444444444444444,71
0.5046511627906978,0.5625,0.5833333333333333,0.6666666666666666,0.7222222222222222,70
0.5996511627906977,0.5069444444444444,0.75,0.7222222222222222,0.8888888888888888,71
0.4027906976744186,0.46527777777777773,0.41666666666666663,0.611111111111111,0.611111111111111,67
0.3770348837209303,0.6875,0.16666666666666666,0.5555555555555556,0.3333333333333333,66
0.7055232558139535,0.638888888888889,0.5833333333333333,0.16666666666666666,0.7222222222222222,69
0.5954069767441861,0.5833333333333334,0.41666666666666663,0.8333333333333334,0.7777777777777777,72
0.5330232558139535,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.611111111111111,68
0.5092732558139536,0.7083333333333334,0.41666666666666663,0.5555555555555556,0.7222222222222222,71
0.4950290697674419,0.4861111111111111,0.41666666666666663,0.7777777777777777,0.8888888888888888,70
0.41901162790697677,0.6527777777777778,0.75,0.7222222222222222,0.8888888888888888,66
0.40982558139534886,0.6319444444444444,0.75,0.7777777777777777,0.7222222222222222,65
0.36802325581395356,0.6527777777777778,0.41666666666666663,0.4444444444444444,0.8888888888888888,64
0.15058139534883724,0.611111111111111,0.5833333333333333,0.8333333333333334,0.8888888888888888,60
0.469593023255814,0.4375,0.16666666666666666,0.6111111111111112,0.7222222222222222,65
0.4113953488372093,0.4236111111111111,0.5833333333333333,0.7222222222222223,0.7777777777777777,67
0.322703488372093,0.7569444444444443,0.5833333333333333,0.7222222222222222,0.8888888888888888,66
0.7702906976744186,0.5277777777777778,0.41666666666666663,0.11111111111111109,0.4444444444444444,69
0.6434011627906977,0.6041666666666666,0.41666666666666663,0.2777777777777778,0.7222222222222222,72
0.3929651162790698,0.548611111111111,0.5833333333333333,0.3333333333333333,0.4444444444444444,66
0.670639534883721,0.3819444444444444,0.6666666666666666,0.7222222222222222,0.611111111111111,66
0.3742732558139535,0.4861111111111111,0.16666666666666666,0.5555555555555555,0.8888888888888888,63
0.3987790697674419,0.5,1.0,0.6111111111111112,0.6666666666666666,64
0.5885174418604651,0.548611111111111,0.16666666666666666,0.22222222222222224,0.1111111111111111,65
0.610843023255814,0.611111111111111,0.8333333333333333,0.5555555555555556,0.611111111111111,71
0.43970930232558136,0.3819444444444444,0.41666666666666663,0.16666666666666666,0.611111111111111,66
0.14133720930232563,0.6527777777777778,0.8333333333333333,0.1111111111111111,0.7222222222222222,64
